Region,Regional District,Year,Gender,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
0,British Columbia,2022,M,2599845,22087,22119,22738,23308,23884,24684,24872,25826,25682,26040,25628,25368,26111,26365,26125,25525,24935,25695,27122,26698,28300,32186,35278,36506,36808,37462,38034,38815,39202,39389,39848,40171,40769,40431,39268,38997,39449,38986,38215,37215,36433,35288,34159,32641,31607,31548,31123,31165,30954,31082,31756,33735,33989,33570,32827,32489,33799,35634,37192,37951,36521,36531,36064,35081,35061,33669,33170,32199,30504,29495,28266,27295,26809,25339,25086,24189,19509,17680,17035,15785,13903,12583,11352,10244,9103,8249,7600,6545,5796,5060,19039
0,British Columbia,2022,F,2663927,20948,20925,21409,21833,22685,23142,23200,23526,23877,24376,24390,24165,24722,25040,25348,24842,24129,24948,26371,25828,27350,31035,33527,34005,34162,34252,35921,36026,36598,37268,38491,38807,39388,39186,38667,38229,38532,37973,37788,37304,37008,35757,35153,33615,32739,32640,33150,32886,32879,33193,33777,36266,36551,36462,35248,34361,35857,37428,39534,39643,38224,38526,38432,37768,37424,36472,35825,35215,33870,32231,30847,29893,29478,27903,27299,26635,21492,19634,18929,17544,15721,14758,13190,12067,11326,10501,9588,8583,7726,7147,35319
0,British Columbia,2022,T,5263772,43035,43044,44147,45141,46569,47826,48072,49352,49559,50416,50018,49533,50833,51405,51473,50367,49064,50643,53493,52526,55650,63221,68805,70511,70970,71714,73955,74841,75800,76657,78339,78978,80157,79617,77935,77226,77981,76959,76003,74519,73441,71045,69312,66256,64346,64188,64273,64051,63833,64275,65533,70001,70540,70032,68075,66850,69656,73062,76726,77594,74745,75057,74496,72849,72485,70141,68995,67414,64374,61726,59113,57188,56287,53242,52385,50824,41001,37314,35964,33329,29624,27341,24542,22311,20429,18750,17188,15128,13522,12207,54358
0,British Columbia,2023,M,2634662,22346,22412,22448,23134,23707,24284,25044,25230,26169,26026,26359,25888,25673,26545,27057,27094,26350,26324,28369,28673,27628,29031,32873,35941,37243,37665,38562,39183,40123,40466,40552,40876,41107,41675,41242,39943,39535,39937,39384,38622,37576,36748,35590,34409,32817,31735,31602,31141,31186,30939,31018,31679,33616,33906,33516,32785,32433,33753,35570,37133,37890,36456,36444,35949,34903,34853,33413,32903,31908,30156,29162,27877,26880,26331,24791,24480,23509,18902,17060,16374,15074,13228,11900,10660,9558,8430,7578,6918,5898,5158,20147
0,British Columbia,2023,F,2702617,21196,21221,21210,21735,22184,23054,23466,23526,23830,24177,24664,24625,24417,25136,25769,26442,25774,25465,27365,27774,26840,28077,31854,34404,35074,35382,35658,37198,37377,37877,38526,39413,39604,40191,39862,39409,38787,38993,38394,38149,37635,37326,36032,35405,33811,32916,32785,33247,32978,32953,33256,33850,36359,36643,36534,35314,34384,35863,37460,39576,39711,38279,38563,38485,37758,37409,36415,35736,35107,33702,32046,30645,29616,29156,27510,26855,26116,21024,19150,18421,17015,15209,14223,12650,11503,10730,9883,8962,7966,7118,37228
0,British Columbia,2023,T,5337279,43542,43633,43658,44869,45891,47338,48510,48756,49999,50203,51023,50513,50090,51681,52826,53536,52124,51789,55734,56447,54468,57108,64727,70345,72317,73047,74220,76381,77500,78343,79078,80289,80711,81866,81104,79352,78322,78930,77778,76771,75211,74074,71622,69814,66628,64651,64387,64388,64164,63892,64274,65529,69975,70549,70050,68099,66817,69616,73030,76709,77601,74735,75007,74434,72661,72262,69828,68639,67015,63858,61208,58522,56496,55487,52301,51335,49625,39926,36210,34795,32089,28437,26123,23310,21061,19160,17461,15880,13864,12276,57375
0,British Columbia,2024,M,2668939,22574,22664,22735,22839,23528,24102,24641,25401,25572,26511,26343,26618,26191,26104,27234,28022,27914,27733,28991,29912,29593,28351,29711,33526,36667,38089,38756,39703,40486,41384,41626,41579,41811,42012,42483,41913,40477,40019,40329,39786,38978,37885,37043,35834,34576,32937,31783,31614,31156,31165,30869,30937,31561,33529,33845,33467,32723,32389,33696,35519,37076,37816,36371,36328,35765,34699,34588,33146,32608,31546,29819,28765,27459,26408,25769,24202,23803,22787,18250,16409,15648,14354,12522,11186,9957,8862,7755,6910,6245,5259,21191
0,British Columbia,2024,F,2740782,21413,21463,21501,21532,22081,22549,23374,23788,23827,24128,24464,24896,24874,24828,25861,26860,27370,27104,27875,28759,28776,27558,28888,32722,35465,36289,36785,36930,38545,38654,39136,39447,40209,40406,40863,40603,39964,39244,39410,38751,38475,37949,37597,36281,35596,33983,33057,32878,33335,33047,33011,33324,33943,36447,36709,36591,35329,34389,35895,37505,39642,39758,38316,38616,38471,37742,37347,36323,35626,34932,33507,31837,30366,29300,28751,27069,26340,25560,20515,18645,17875,16470,14668,13651,12069,10908,10109,9248,8328,7349,38911
0,British Columbia,2024,T,5409721,43987,44127,44236,44371,45609,46651,48015,49189,49399,50639,50807,51514,51065,50932,53095,54882,55284,54837,56866,58671,58369,55909,58599,66248,72132,74378,75541,76633,79031,80038,80762,81026,82020,82418,83346,82516,80441,79263,79739,78537,77453,75834,74640,72115,70172,66920,64840,64492,64491,64212,63880,64261,65504,69976,70554,70058,68052,66778,69591,73024,76718,77574,74687,74944,74236,72441,71935,69469,68234,66478,63326,60602,57825,55708,54520,51271,50143,48347,38765,35054,33523,30824,27190,24837,22026,19770,17864,16158,14573,12608,60102
0,British Columbia,2025,M,2702416,22778,22883,22979,23118,23225,23917,24452,24991,25737,25908,26823,26597,26916,26618,26788,28193,28835,29289,30392,30525,30820,30303,29018,30351,34235,37491,39155,39871,40980,41724,42522,42634,42498,42702,42805,43140,42433,40949,40401,40720,40131,39277,38171,37277,35991,34686,32975,31786,31620,31128,31087,30781,30815,31475,33464,33790,33397,32674,32336,33652,35470,37007,37721,36255,36141,35554,34436,34310,32850,32240,31194,29417,28338,26983,25853,25165,23543,23083,22012,17565,15695,14915,13603,11787,10465,9249,8170,7088,6254,5586,22238
0,British Columbia,2025,F,2777906,21607,21671,21735,21814,21871,22439,22863,23690,24084,24120,24410,24691,25140,25280,25549,26946,27781,28692,29505,29258,29749,29480,28354,29740,33764,36658,37666,38030,38252,39799,39892,40039,40228,40997,41065,41590,41146,40409,39651,39757,39068,38781,38212,37837,36463,35760,34116,33144,32960,33396,33098,33073,33412,34029,36506,36759,36596,35324,34421,35941,37575,39688,39788,38369,38600,38450,37677,37249,36210,35448,34730,33290,31551,30046,28900,28298,26558,25787,24954,19981,18099,17310,15890,14084,13031,11451,10281,9465,8599,7688,40551
0,British Columbia,2025,T,5480322,44385,44554,44714,44932,45096,46356,47315,48681,49821,50028,51233,51288,52056,51898,52337,55139,56616,57981,59897,59783,60569,59783,57372,60091,67999,74149,76821,77901,79232,81523,82414,82673,82726,83699,83870,84730,83579,81358,80052,80477,79199,78058,76383,75114,72454,70446,67091,64930,64580,64524,64185,63854,64227,65504,69970,70549,69993,67998,66757,69593,73045,76695,77509,74624,74741,74004,72113,71559,69060,67688,65924,62707,59889,57029,54753,53463,50101,48870,46966,37546,33794,32225,29493,25871,23496,20700,18451,16553,14853,13274,62789
0,British Columbia,2026,M,2736420,22983,23093,23203,23370,23511,23620,24273,24810,25333,26079,26227,27083,26901,27349,27308,27756,29016,30220,31955,31931,31437,31534,30974,29666,31074,35082,38588,40304,41184,42252,42893,43559,43579,43412,43516,43480,43675,42918,41342,40802,41074,40436,39568,38409,37437,36103,34724,32979,31795,31593,31052,31000,30661,30732,31420,33412,33720,33347,32622,32303,33619,35416,36925,37604,36077,35937,35293,34171,34013,32490,31890,30782,28989,27856,26426,25259,24493,22847,22316,21203,16820,14979,14154,12824,11045,9739,8544,7484,6433,5613,23500
0,British Columbia,2026,F,2815421,21805,21873,21949,22054,22159,22234,22757,23184,23991,24382,24407,24642,24941,25553,26007,26640,27875,29110,31099,30894,30255,30462,30288,29221,30808,34993,38080,38955,39396,39546,41074,40823,40844,41038,41673,41813,42150,41605,40828,40008,40082,39381,39050,38458,38023,36632,35895,34205,33228,33024,33449,33161,33163,33501,34097,36561,36767,36592,35358,34477,36023,37634,39724,39841,38362,38587,38390,37585,37139,36037,35252,34511,32998,31229,29648,28457,27778,26014,25189,24321,19408,17536,16709,15266,13453,12374,10802,9633,8807,7943,42251
0,British Columbia,2026,T,5551841,44788,44966,45152,45424,45670,45854,47030,47994,49324,50461,50634,51725,51842,52902,53315,54396,56891,59330,63054,62825,61692,61996,61262,58887,61882,70075,76668,79259,80580,81798,83967,84382,84423,84450,85189,85293,85825,84523,82170,80810,81156,79817,78618,76867,75460,72735,70619,67184,65023,64617,64501,64161,63824,64233,65517,69973,70487,69939,67980,66780,69642,73050,76649,77445,74439,74524,73683,71756,71152,68527,67142,65293,61987,59085,56074,53716,52271,48861,47505,45524,36228,32515,30863,28090,24498,22113,19346,17117,15240,13556,65751
0,British Columbia,2027,M,2770831,23185,23303,23419,23602,23769,23912,23983,24637,25159,25682,26404,26492,27392,27341,28047,28284,28587,30411,32894,33500,32846,32154,32208,31628,30402,31944,36210,39771,41652,42490,43451,43958,44529,44515,44246,44208,44032,44175,43323,41754,41165,41384,40731,39808,38571,37550,36140,34726,32987,31769,31516,30965,30879,30580,30682,31378,33346,33670,33295,32591,32283,33583,35351,36820,37423,35882,35681,35030,33886,33649,32148,31479,30343,28508,27293,25832,24599,23784,22104,21513,20324,16068,14230,13360,12034,10294,9011,7841,6807,5786,24653
0,British Columbia,2027,F,2853378,22001,22079,22158,22275,22404,22526,22556,23082,23489,24294,24674,24645,24899,25361,26286,27104,27576,29210,31524,32493,31897,30976,31281,31169,30313,32072,36460,39411,40363,40728,40857,42033,41652,41675,41731,42441,42389,42623,42034,41194,40342,40402,39656,39301,38648,38194,36770,35985,34290,33293,33078,33512,33253,33255,33573,34161,36573,36768,36627,35417,34570,36094,37685,39785,39834,38357,38534,38303,37483,36968,35846,35039,34217,32670,30825,29206,27947,27225,25425,24564,23639,18815,16938,16064,14595,12786,11686,10132,8973,8145,43995
0,British Columbia,2027,T,5624209,45186,45382,45577,45877,46173,46438,46539,47719,48648,49976,51078,51137,52291,52702,54333,55388,56163,59621,64418,65993,64743,63130,63489,62797,60715,64016,72670,79182,82015,83218,84308,85991,86181,86190,85977,86649,86421,86798,85357,82948,81507,81786,80387,79109,77219,75744,72910,70711,67277,65062,64594,64477,64132,63835,64255,65539,69919,70438,69922,68008,66853,69677,73036,76605,77257,74239,74215,73333,71369,70617,67994,66518,64560,61178,58118,55038,52546,51009,47529,46077,43963,34883,31168,29424,26629,23080,20697,17973,15780,13931,68648
